Id,MSSubClass,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,ExterQual,ExterCond,Foundation,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition
1471,120,5858,Pave,IR1,Lvl,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1337,0,0,1337,2,0,2,1,5,1,Y,203,68,0,0,0,0,0,6,2010,Normal
1472,160,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,483,504,0,987,1,1,2,1,5,0,Y,275,0,0,0,0,0,0,2,2010,Normal
1473,160,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,525,567,0,1092,1,1,3,1,6,0,Y,0,0,0,0,0,0,0,3,2010,Normal
1474,160,2280,Pave,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,855,601,0,1456,2,1,3,1,6,1,Y,173,0,0,0,0,0,0,6,2010,Normal
1475,120,2280,Pave,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,836,0,0,836,1,0,2,1,4,0,Y,0,30,0,0,0,0,0,6,2010,Normal
1476,60,12858,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,Ex,TA,PConc,GasA,Ex,Y,1627,707,0,2334,2,1,3,1,10,1,Y,144,133,0,0,0,0,0,1,2010,Partial
1477,20,12883,Pave,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1544,0,0,1544,2,0,3,1,7,0,Y,0,35,0,0,0,0,0,6,2010,Partial
1478,20,11520,Pave,Reg,Lvl,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1698,0,0,1698,2,0,3,1,7,1,Y,192,74,0,0,0,0,0,6,2010,Normal
1479,20,14122,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1822,0,0,1822,2,0,3,1,8,1,Y,0,119,0,0,0,0,0,2,2010,Normal
1480,20,14300,Pave,Reg,HLS,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,Ex,TA,PConc,GasA,Ex,Y,2696,0,0,2696,2,1,3,1,10,2,Y,220,150,0,0,0,0,0,6,2010,Normal
1481,60,13650,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1687,563,0,2250,2,1,3,1,7,1,Y,238,130,0,0,0,0,0,6,2010,Normal
1482,120,7132,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1370,0,0,1370,2,0,2,1,6,1,Y,120,49,0,0,0,0,0,4,2010,Normal
1483,20,18494,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1324,0,0,1324,2,0,3,1,6,0,Y,36,23,0,0,0,0,0,1,2010,Normal
1484,120,3203,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1145,0,0,1145,2,0,2,1,6,0,Y,100,116,0,0,0,0,0,1,2010,Normal
1485,80,13300,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,744,630,0,1374,2,1,3,1,7,1,Y,100,0,0,0,0,0,0,6,2010,Normal
1486,60,8577,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,847,886,0,1733,2,1,3,1,7,1,Y,144,48,0,0,0,0,0,4,2010,Normal
1487,60,17433,Pave,IR2,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1645,830,0,2475,2,1,4,1,7,1,Y,23,172,0,0,256,0,0,1,2010,Normal
1488,20,8987,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1595,0,0,1595,2,0,2,1,6,1,Y,144,0,0,0,0,0,0,5,2010,Normal
1489,20,9215,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,Gd,TA,PConc,GasA,Ex,Y,1218,0,0,1218,2,0,2,1,4,0,Y,0,136,0,0,0,0,0,4,2010,Partial
1490,20,10440,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1468,0,0,1468,2,0,2,1,6,1,Y,0,102,0,0,216,0,0,5,2010,Normal
1491,60,11920,Pave,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,831,828,0,1659,2,1,3,1,8,0,Y,144,68,0,0,0,0,0,4,2010,Normal
1492,30,9800,Pave,Reg,Lvl,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,TA,Fa,BrkTil,GasA,TA,N,1012,0,0,1012,1,0,2,1,5,0,Y,121,0,80,0,0,0,0,4,2010,Normal
1493,20,15410,Pave,IR1,Lvl,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,TA,Gd,CBlock,GasA,Ex,Y,1494,0,0,1494,2,0,3,1,7,2,Y,296,0,186,0,0,0,0,4,2010,Abnorml
1494,60,13143,Pave,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1251,1098,0,2349,2,1,4,1,9,1,Y,32,130,0,0,0,0,0,6,2010,Normal
1495,60,11134,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1402,823,0,2225,2,1,4,1,7,1,Y,198,30,0,0,0,0,0,6,2010,Normal
1496,120,4835,Pave,IR1,Lvl,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1488,0,0,1488,2,0,2,1,6,1,Y,168,50,0,0,0,0,0,3,2010,Normal
1497,160,3515,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,840,840,0,1680,2,1,2,1,3,0,Y,0,111,0,0,0,0,0,1,2010,Normal
1498,160,3215,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,600,600,0,1200,2,1,2,1,4,0,Y,0,172,0,0,0,0,0,4,2010,Normal
1499,160,2544,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,600,600,0,1200,2,1,2,1,4,0,Y,0,172,0,0,0,0,0,2,2010,Normal
1500,160,2544,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,600,636,0,1236,2,1,2,1,4,0,Y,0,166,0,0,0,0,0,5,2010,Normal
1501,160,2980,Pave,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,756,756,0,1512,2,1,2,1,5,0,Y,0,32,0,0,0,0,0,5,2010,Normal
1502,160,2403,Pave,IR1,Lvl,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,530,550,0,1080,2,1,2,1,4,0,Y,0,50,0,0,0,0,0,6,2010,Normal
1503,20,12853,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1418,0,0,1418,1,1,1,1,6,1,Y,160,192,0,224,0,0,0,4,2010,Partial
1504,60,7379,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,975,873,0,1848,2,1,3,1,7,1,Y,280,184,0,0,0,0,0,4,2010,Normal
1505,20,8000,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1492,0,0,1492,2,0,3,1,6,1,Y,277,137,0,0,0,0,0,4,2010,Normal
1506,20,10456,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1967,1967,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,1829,0,0,1829,2,0,4,1,8,0,Y,0,76,0,0,0,0,0,5,2010,Normal
1507,60,10791,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,TA,TA,PConc,GasA,Ex,Y,1280,1215,0,2495,2,1,4,1,9,1,Y,224,32,0,0,0,0,0,3,2010,Normal
1508,50,18837,Pave,IR1,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1.5Fin,6,5,1978,1978,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,1287,604,0,1891,3,0,3,1,7,1,Y,0,69,0,0,0,0,0,4,2010,Normal
1509,60,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1971,1971,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,930,715,0,1645,1,2,4,1,7,0,Y,0,78,0,0,0,0,0,6,2010,Normal
1510,20,9600,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1232,0,0,1232,1,1,3,1,6,0,Y,0,224,0,0,0,0,0,4,2010,Normal
1511,20,9900,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Hip,CompShg,TA,TA,PConc,GasA,Gd,Y,1209,0,0,1209,1,0,3,1,6,0,Y,0,0,120,0,0,0,0,4,2010,Normal
1512,20,9680,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1967,1967,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1510,0,0,1510,2,0,3,1,6,0,Y,0,40,0,0,204,0,0,4,2010,Normal
1513,80,10600,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1964,1964,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1131,644,0,1775,2,0,3,1,8,0,Y,0,172,0,0,0,0,0,5,2010,Family
1514,90,13260,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,6,1962,2001,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1728,0,0,1728,2,0,6,2,10,0,Y,0,0,0,0,0,0,0,1,2010,Abnorml
1515,50,9724,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,7,1952,2002,Gable,CompShg,Gd,TA,CBlock,GasA,Gd,Y,1929,532,0,2461,2,0,3,1,7,2,Y,0,0,0,0,0,0,0,3,2010,Normal
1516,50,17360,Pave,Reg,Lvl,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,6,1949,1950,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,1019,537,0,1556,2,0,3,1,6,1,Y,0,0,150,0,0,0,0,1,2010,Normal
1517,85,11380,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,6,8,1966,2008,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,1128,0,0,1128,1,0,2,1,5,1,Y,238,0,0,0,0,0,1500,1,2010,Normal
1518,90,8267,Pave,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1604,0,0,1604,2,0,4,2,8,0,Y,42,0,0,0,0,0,0,3,2010,Normal
1519,20,8197,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,CompShg,Gd,TA,PConc,GasA,Ex,Y,1480,0,0,1480,2,0,3,1,7,0,Y,252,73,0,0,0,0,300,2,2010,Normal
1520,20,8050,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1143,0,0,1143,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,5,2010,Normal
1521,20,10725,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,TA,TA,CBlock,GasA,Fa,Y,1206,0,0,1206,1,0,3,1,6,0,Y,0,21,0,0,0,0,0,5,2010,Normal
1522,20,10032,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1959,1959,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1580,0,0,1580,1,1,3,1,6,2,Y,0,28,0,0,160,0,0,6,2010,Normal
1523,50,8382,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,832,505,0,1337,1,0,3,1,5,0,Y,0,0,0,0,0,0,0,2,2010,Normal
1524,20,10950,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,1064,0,0,1064,1,0,2,1,4,0,Y,0,0,0,0,0,0,0,5,2010,Normal
1525,20,10895,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1955,1955,Gable,CompShg,TA,Gd,CBlock,GasA,TA,Y,972,0,0,972,1,0,3,1,5,0,Y,0,0,205,0,0,0,0,6,2010,Normal
1526,190,13587,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,2fmCon,1Story,5,5,1958,1958,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,988,0,0,988,1,0,2,1,5,0,Y,0,0,0,0,0,0,0,4,2010,Abnorml
1527,30,7898,Pave,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,7,1920,1994,Gable,CompShg,TA,TA,BrkTil,GasA,Gd,Y,985,0,0,985,1,0,2,1,4,0,N,0,0,0,0,0,0,0,4,2010,Normal
1528,50,8064,Pave,Reg,Lvl,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,8,1948,2004,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,816,408,0,1224,1,0,3,1,5,0,Y,414,0,0,0,0,0,0,5,2010,Normal
1529,20,7635,Pave,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,1175,0,0,1175,1,1,3,1,6,0,Y,0,0,0,0,0,0,0,6,2010,Normal
1530,20,9760,Pave,Reg,Lvl,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,7,1963,1984,Hip,CompShg,TA,TA,CBlock,GasA,TA,Y,1395,0,0,1395,1,0,2,1,7,1,Y,657,0,113,0,240,0,0,5,2010,Normal
1531,50,4800,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1900,1954,Hip,CompShg,TA,TA,PConc,GasA,TA,Y,1157,687,0,1844,1,0,3,1,9,2,Y,84,0,0,0,0,0,0,1,2010,Abnorml
1532,30,4485,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,TA,TA,PConc,GasA,TA,Y,936,0,0,936,1,0,2,1,5,1,P,51,0,135,0,0,0,0,5,2010,Normal
1533,20,5805,Pave,Reg,Bnk,Inside,Mod,OldTown,Norm,Norm,1Fam,1Story,5,7,1957,1957,Hip,CompShg,TA,TA,CBlock,GasA,Gd,Y,1347,0,0,1347,1,0,3,1,6,0,Y,0,0,0,0,0,0,0,6,2010,Normal
1534,45,6900,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1938,2000,Gable,CompShg,TA,TA,PConc,GasA,Gd,Y,827,424,0,1251,1,0,3,1,6,0,N,0,0,0,0,0,0,0,1,2010,Normal
1535,50,11851,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,7,1948,2009,Gable,CompShg,TA,Gd,BrkTil,GasA,Ex,Y,1027,606,0,1633,1,0,3,1,7,1,Y,0,100,126,0,0,0,0,6,2010,Normal
1536,50,8239,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,6,1920,1962,Gable,CompShg,TA,TA,BrkTil,GasA,TA,Y,1060,185,0,1245,1,0,3,1,6,0,Y,0,0,334,0,0,0,0,3,2010,Normal
1537,30,9656,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,2,1923,1970,Gable,CompShg,TA,Fa,BrkTil,GasA,TA,N,832,0,0,832,1,0,2,1,5,1,N,0,0,0,0,0,0,0,6,2010,Abnorml
1538,70,9600,Pave,Reg,Lvl,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,9,1900,2003,Gable,CompShg,Gd,Gd,BrkTil,GasW,TA,N,930,636,0,1566,2,0,3,1,7,0,Y,54,228,246,0,0,0,0,4,2010,Abnorml
1539,70,9000,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,9,1890,2002,Gable,CompShg,Gd,Gd,Stone,GasA,Ex,Y,1157,1111,0,2268,3,0,3,1,7,0,N,0,108,0,0,0,0,0,4,2010,Normal
1540,190,9045,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,3,1910,1950,Gable,CompShg,TA,Fa,BrkTil,Grav,Fa,N,1128,1128,0,2256,2,0,4,2,12,0,N,0,18,18,0,0,0,0,6,2010,Abnorml
1541,70,10560,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,7,1922,1994,Gable,CompShg,TA,TA,CBlock,GasA,Ex,Y,868,602,0,1470,1,1,2,1,6,0,Y,0,0,0,0,0,0,0,6,2010,Normal
1542,50,5830,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Feedr,Feedr,1Fam,1.5Fin,5,6,1950,1997,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,1030,582,0,1612,1,1,3,1,7,0,Y,0,0,0,0,0,0,0,3,2010,Normal
1543,75,7793,Pave,IR1,Bnk,Corner,Gtl,BrkSide,Norm,Norm,1Fam,2.5Unf,7,7,1922,2005,Gable,CompShg,TA,TA,BrkTil,GasA,TA,N,1160,908,0,2068,1,1,3,1,8,1,Y,0,0,60,0,0,0,0,5,2010,Normal
1544,30,5000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1Story,4,7,1925,1950,Gable,CompShg,TA,TA,BrkTil,GasA,TA,N,765,0,0,765,1,0,2,1,4,0,P,135,0,41,0,0,0,0,4,2010,Normal
1545,50,6000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1939,1950,Gable,CompShg,TA,TA,BrkTil,GasA,TA,Y,608,524,0,1132,1,0,2,1,5,0,Y,0,0,128,0,0,0,0,4,2010,Abnorml
1546,50,6000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1940,1950,Gable,CompShg,TA,Gd,CBlock,GasA,Ex,Y,848,348,0,1196,1,1,3,1,6,2,Y,0,0,0,0,0,0,0,3,2010,Normal
1547,50,6360,Pave,Reg,Lvl,Corner,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,5,6,1942,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,955,498,0,1453,1,1,3,1,7,2,Y,0,0,35,0,148,0,0,3,2010,Normal
1548,50,6000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1948,1950,Gable,CompShg,TA,TA,CBlock,GasA,TA,Y,780,636,0,1416,1,1,3,1,6,0,P,221,0,48,0,0,0,0,3,2010,Normal
1549,50,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1936,1980,Gable,CompShg,TA,TA,CBlock,GasA,Gd,Y,548,492,0,1040,1,0,2,1,5,0,P,306,0,32,0,0,0,0,5,2010,Normal
1550,50,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1930,1950,Gable,CompShg,TA,TA,BrkTil,GasA,TA,Y,928,608,0,1536,2,0,4,1,7,1,Y,0,10,0,0,0,0,0,3,2010,Normal
1551,30,6120,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,6,5,1923,1950,Gable,CompShg,TA,TA,BrkTil,GasA,TA,Y,1068,0,0,1068,1,0,2,1,5,1,Y,0,0,128,0,0,0,0,3,2010,Normal
1552,50,8094,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1915,1950,Gable,CompShg,TA,Fa,CBlock,GasA,Ex,Y,888,1074,0,1962,1,1,4,1,9,1,Y,160,0,364,0,0,0,0,6,2010,Normal
1553,70,12900,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,8,1912,2009,Gable,CompShg,Gd,Gd,PConc,GasA,Ex,Y,780,780,0,1560,1,1,3,1,7,0,N,344,0,0,0,168,0,0,5,2010,Normal
1554,70,3068,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,8,1920,1993,Gable,CompShg,TA,Gd,BrkTil,GasA,Ex,Y,662,662,0,1324,1,0,3,1,6,0,Y,0,0,112,0,0,0,0,2,2010,Normal
